职位名称,公司名称,工作地点,参考月薪,学历要求,发布时间,岗位职责
客服专员,厦门中昶旭管理咨询有限公司,厦门市,6500,无,2019-5-10 16:23,一、岗位职责：1、按照公司要求，寻找符合公司标准的客户群体，并帮助他们解决资金需求。2、做好客户维护，并做好转介绍，做好二次开发。二、岗位要求：1、吃苦耐劳，想通过自己的双手改变自己，并获得高...
客户经理,厦门中昶旭管理咨询有限公司,厦门市,9000,高中,2019-5-10 16:22,一、岗位职责：1 负责宣传公司产品2 开发拓展客户，帮助客户获取银行无抵押免担保信用贷款；达成一定的销售指标3 维护老客户，帮助客户解决后期问题二：福利待遇1 底薪+抽成+医社保+双休2 完善系统的专...
客服,厦门中昶旭管理咨询有限公司,厦门市、厦门市湖里区,6000,中专,2019-5-10 16:22,一、工资：正常每月5000--8000，努力可达10000+薪资：初级客户经理底薪2800-3600+抽成+奖金+医社保二、主要工作1、开发资源渠道，管理维护客户关系；2、完成公司及部门经理分配的任务。无需经验，无需专业...
电话客服,厦门中昶旭管理咨询有限公司,厦门市、厦门市湖里区,6500,高中,2019-5-10 16:22,"1、挑战高薪，热爱销售；2、负责搜集新客户的资料并进行沟通，开发新客户；3、通过电话与客户进行有效沟通了解客户需求, 寻找销售机会并完成销售业绩；4、维护老客户的业务，挖掘客户的最大潜力；5、定期与..."
信贷经理,厦门中昶旭管理咨询有限公司,厦门市、厦门市湖里区,7500,高中,2019-5-10 16:22,工作职责--对客户质量进行审核，把控虚假、欺诈风险。--贷款处理，在系统中录入客户信息，及时递交申请资料，包括资料录入、扫描和归档；--安排客户洽谈、签订贷款合同，解释相关条款和处理客户异议及投诉；...
融资专员,厦门中昶旭管理咨询有限公司,厦门市、厦门市湖里区,7500,高中,2019-5-10 16:22,岗位职责:1：以专业、规范的程序协助银行抵押贷款及信用贷款2：通过电话、信函等方式与客户进行沟通，解决客户资金问题，完成业绩任职资格:1：高中及以上学历毕业（优秀者可适当放宽条件）；2：普通话流利...
信贷专员,厦门中昶旭管理咨询有限公司,福建省、厦门市、厦门市湖里区,7750,中专,2019-5-10 16:22,任职资格：只要你是人才，我们绝对不会放过你的！有胆，就来挑战最高年资！一、我们对你的要求：（我们提供最专业的培训体系）1、男女不限，22-35周岁，良好的素养2、这里的收入绝对超出你的预期，所以你要...
数据收集岗位,厦门市闪石投资管理咨询有限公司,厦门市,0,本科,2019-5-10 16:18,1、数据收集、整理、分析2、参与项目底稿收集整理工作；3、参与校稿工作；4、其他。工作性质：与各大券商投行部，证券资格牌照会所，证券资格牌照律所共同办公
金融投资部经理（会计方向）,厦门市中盈时空投资管理有限公司,厦门市思明区,10500,本科,2019-5-10 16:18,职位描述：1、负责/参与业务拓展，根据公司战略投资要求，进行拟投资项目前期调研和可行性分析，评估筛选及储备有发展潜力的股权投资项目，进行投资方案设计，独立或配合项目负责人履行项目投资管理，退出职责，管...
理财经理,私享财富（厦门）投资管理有限公司,福建省、厦门市、厦门市湖里区,6500,本科,2019-5-10 15:38,岗位职责：1、负责私募基金客户与渠道的开拓；2、配合完成产品发行及备案；3、配合分公司路演活动；4、保持与银行、券商等相关机构的沟通互动；5、客户服务等相关工作；二、任职资格：1、年龄：25周岁...
营销中心副总,私享财富（厦门）投资管理有限公司,厦门市湖里区,9500,本科,2019-5-10 15:38,一、岗位职责：1、负责私募基金客户与渠道的开拓；2、配合完成产品发行及备案，保证分公司销售目标完成； 3、保持与保险、银行、券商及相关理财机构的良好沟通，关系维护；4、完成营销型路演沟通，让客户清...
财务助理兼行政,私享财富（厦门）投资管理有限公司,福建省、厦门市、厦门市湖里区,4000,大专,2019-5-10 15:38,岗位职责：1、负责公司的资产管理和各项产品的日报、月报等核对、抽查与调拨，按合同规定准时提交相应报表；2、负责办公室各部门办公后勤保障工作。3、处理公司对外接待工作。4、协助总经理处理行政外部事...
业务实施工程师,海晖东方（厦门）信息科技有限公司,厦门市,5250,本科,2019-5-10 15:14,"岗位职责：1. 根据项目需求, 配合销售人员前往用户现场进行安装,实施； 2. 处理客户的服务请求，配置和修改系统以满足客户要求； 3. 负责信息系统的安装调试、演示培训、应用指导等实施上线工作； 4. 解决客..."
金融业务分析师,海晖东方（厦门）信息科技有限公司,厦门市,5250,,2019-5-10 15:14,岗位职责：1.负责项目的需求调研、收集、分析和整理，编写需求规格说明书；2.梳理源数据系统，并能制作报表表样。3.帮助开发团队和测试团队理解业务知识和项目需求；4.开发过程中，与客户沟通内部提出的需...
客户经理,海晖东方（厦门）信息科技有限公司,厦门市,12000,本科,2019-5-10 15:14,"岗位职责：1）	从事金融软件产品和服务方面的销售工作；2）	负责指定区域的金融机构和实体企业的销售工作与业务洽谈；3）	对制定区域的市场进行分析，制定市场拓展策略，确保区域市场销售目标的实现；4）	对..."
高级法务专员,美融（厦门）融资租赁有限公司,泉州市、厦门市,7500,本科,2019-5-10 15:09,岗位职责：1、车辆质押借款、房产抵押借款等公司业务产品的法务管理2、通过相关的诉讼、仲裁和刑事控告等司法程序进行财产追缴3、协助部门领导建立、完善资产处置流程4、接受回答公司各部门的法律咨询，对相...
财务经理/财务总监,美融（厦门）融资租赁有限公司,泉州市,11000,本科,2019-5-10 15:08,岗位职责：1、建立和完善公司的财务管理制度，制订财务核算体系和财务监控体系，进行有效的内部控制；2、参与制定公司经营发展战略目标，制定财务规划，主持编制、执行和审核公司的各种财务报表；3、负责公司...
客户经理（贷款部）,世纪晟和（厦门）资产管理有限公司,厦门市、厦门市思明区,7750,大专,2019-5-10 15:07,一、招录条件： 1、接受实习生和应届毕业生，轻松的办公氛围和良好的工作环境，广阔的发展和晋升空间岗前专业培训及岗后专人指导2、欢迎不甘于平庸、敢于挑战高薪、有激情有活力的年轻人共创未来；2、全职工作...
资产保全部经理,乐享宝（厦门）网络借贷信息中介服务有限公司,厦门市、厦门市思明区,0,本科,2019-5-10 14:57,岗位职责：1、根据国家法律法规、产业政策、行业政策和贷后管理的各项规章制度，对公司贷后管理执行情况以及贷后管理各项规定的落实情况进行监督检查，根据贷后监督检查过程中发现的问题，提出防范风险的建议和措...
